@relation TASKDATA1

@attribute PRODUCTCODE {S10_1678,S10_1949,S10_2016,S10_4698,S10_4757,S10_4962,S12_1099,S12_1108,S12_1666,S12_2823,S12_3148,S12_3380,S12_3891,S12_3990,S12_4473,S12_4675,S18_1097,S18_1129,S18_1342,S18_1367,S18_1589,S18_1662,S18_1749,S18_1889,S18_1984,S18_2238,S18_2248,S18_2319,S18_2325,S18_2432,S18_2581,S18_2625,S18_2795,S18_2870,S18_2949,S18_2957,S18_3029,S18_3136,S18_3140,S18_3232,S18_3259,S18_3278,S18_3320,S18_3482,S18_3685,S18_3782,S18_3856,S18_4027,S18_4409,S18_4522,S18_4600,S18_4668,S18_4721,S18_4933,S24_1046,S24_1444,S24_1578,S24_1628,S24_1785,S24_1937,S24_2000,S24_2011,S24_2022,S24_2300,S24_2360,S24_2766,S24_2840,S24_2841,S24_2887,S24_2972,S24_3151,S24_3191,S24_3371,S24_3420,S24_3432,S24_3816,S24_3856,S24_3949,S24_3969,S24_4048,S24_4258,S24_4278,S24_4620,S32_1268,S32_1374,S32_2206,S32_2509,S32_3207,S32_3522,S32_4289,S32_4485,S50_1341,S50_1392,S50_1514,S50_4713,S700_1138,S700_1691,S700_1938,S700_2047,S700_2466,S700_2610,S700_2824,S700_2834,S700_3167,S700_3505,S700_3962,S700_4002,S72_1253,S72_3212}
@attribute DEALSIZE=Large {NotThisDealsize,ThisDealsize}
@attribute DEALSIZE=Medium {NotThisDealsize,ThisDealsize}
@attribute DEALSIZE=Small {NotThisDealsize,ThisDealsize}
@attribute QTR_ID=1 {NotThisQTR,ThisQTR}
@attribute QTR_ID=2 {NotThisQTR,ThisQTR}
@attribute QTR_ID=3 {NotThisQTR,ThisQTR}
@attribute QTR_ID=4 {NotThisQTR,ThisQTR}

@data
S50_4713,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S12_4473,NotThisDealsize,ThisDealsize,NotThisDealsize,ThisQTR,NotThisQTR,NotThisQTR,NotThisQTR
S18_1342,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S18_1367,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S18_1749,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S18_2238,ThisDealsize,NotThisDealsize,NotThisDealsize,ThisQTR,NotThisQTR,NotThisQTR,NotThisQTR
S18_2248,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S18_2325,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S18_2795,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S18_3320,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S24_1937,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S24_2022,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S24_2840,NotThisDealsize,NotThisDealsize,ThisDealsize,ThisQTR,NotThisQTR,NotThisQTR,NotThisQTR
S24_3969,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S24_4258,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,ThisQTR,NotThisQTR
S32_2509,NotThisDealsize,NotThisDealsize,ThisDealsize,ThisQTR,NotThisQTR,NotThisQTR,NotThisQTR
S10_4962,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S12_4473,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S18_2238,ThisDealsize,NotThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S18_2319,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S18_2325,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,ThisQTR,NotThisQTR,NotThisQTR
S18_2432,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S18_3232,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S18_4027,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S18_4600,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S24_1444,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S24_1937,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,ThisQTR,NotThisQTR,NotThisQTR
S24_2300,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S24_2840,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S24_4048,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S32_1268,NotThisDealsize,ThisDealsize,NotThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S32_2509,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S32_3207,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
S50_1392,NotThisDealsize,NotThisDealsize,ThisDealsize,NotThisQTR,NotThisQTR,NotThisQTR,ThisQTR
